,crime,date,beat,city,county,state,country
25779,AUTO THEFT,1/1/2010,410,Atlanta,Fulton County,Georgia,United States
25780,LARCENY-NON VEHICLE,1/1/2010,110,Atlanta,Fulton County,Georgia,United States
25781,AUTO THEFT,1/1/2010,503,Atlanta,Fulton County,Georgia,United States
25782,AUTO THEFT,1/1/2010,204,Atlanta,Fulton County,Georgia,United States
25783,LARCENY-NON VEHICLE,1/1/2010,211,Atlanta,Fulton County,Georgia,United States
25784,AUTO THEFT,1/1/2010,512,Atlanta,Fulton County,Georgia,United States
25785,LARCENY-FROM VEHICLE,1/1/2010,401,Atlanta,Fulton County,Georgia,United States
25786,AGG ASSAULT,1/1/2010,403,Atlanta,Fulton County,Georgia,United States
25787,LARCENY-FROM VEHICLE,1/1/2010,505,Atlanta,Fulton County,Georgia,United States
25788,LARCENY-NON VEHICLE,1/1/2010,402,Atlanta,Fulton County,Georgia,United States
25789,AGG ASSAULT,1/1/2010,310,Atlanta,Fulton County,Georgia,United States
25790,LARCENY-FROM VEHICLE,1/1/2010,304,Atlanta,Fulton County,Georgia,United States
25791,LARCENY-FROM VEHICLE,1/1/2010,208,Atlanta,Fulton County,Georgia,United States
25792,BURGLARY-RESIDENCE,1/1/2010,204,Atlanta,Fulton County,Georgia,United States
25793,LARCENY-NON VEHICLE,1/1/2010,401,Atlanta,Fulton County,Georgia,United States
25794,LARCENY-NON VEHICLE,1/1/2010,511,Atlanta,Fulton County,Georgia,United States
25795,ROBBERY-COMMERCIAL,1/1/2010,213,Atlanta,Fulton County,Georgia,United States
25796,AUTO THEFT,1/1/2010,502,Atlanta,Fulton County,Georgia,United States
25797,LARCENY-NON VEHICLE,1/1/2010,210,Atlanta,Fulton County,Georgia,United States
25798,AUTO THEFT,1/1/2010,207,Atlanta,Fulton County,Georgia,United States
25799,AUTO THEFT,1/1/2010,605,Atlanta,Fulton County,Georgia,United States
25800,LARCENY-FROM VEHICLE,1/1/2010,511,Atlanta,Fulton County,Georgia,United States
25801,LARCENY-NON VEHICLE,1/1/2010,210,Atlanta,Fulton County,Georgia,United States
25802,BURGLARY-RESIDENCE,1/1/2010,409,Atlanta,Fulton County,Georgia,United States
25803,LARCENY-NON VEHICLE,1/1/2010,602,Atlanta,Fulton County,Georgia,United States
25804,AGG ASSAULT,1/1/2010,112,Atlanta,Fulton County,Georgia,United States
25805,AGG ASSAULT,1/1/2010,301,Atlanta,Fulton County,Georgia,United States
25806,LARCENY-FROM VEHICLE,1/1/2010,412,Atlanta,Fulton County,Georgia,United States
25807,AUTO THEFT,1/1/2010,407,Atlanta,Fulton County,Georgia,United States
25808,BURGLARY-RESIDENCE,1/1/2010,404,Atlanta,Fulton County,Georgia,United States
25809,BURGLARY-RESIDENCE,1/1/2010,203,Atlanta,Fulton County,Georgia,United States
25810,BURGLARY-RESIDENCE,1/1/2010,211,Atlanta,Fulton County,Georgia,United States
25811,AUTO THEFT,1/1/2010,312,Atlanta,Fulton County,Georgia,United States
25812,LARCENY-NON VEHICLE,1/1/2010,501,Atlanta,Fulton County,Georgia,United States
25813,ROBBERY-PEDESTRIAN,1/1/2010,609,Atlanta,DeKalb County,Georgia,United States
25814,BURGLARY-RESIDENCE,1/1/2010,414,Atlanta,Fulton County,Georgia,United States
25815,LARCENY-FROM VEHICLE,1/1/2010,604,Atlanta,Fulton County,Georgia,United States
25816,LARCENY-FROM VEHICLE,1/1/2010,602,Atlanta,Fulton County,Georgia,United States
25817,LARCENY-FROM VEHICLE,1/1/2010,508,Atlanta,Fulton County,Georgia,United States
25819,LARCENY-FROM VEHICLE,1/1/2010,608,Atlanta,DeKalb County,Georgia,United States
25820,AGG ASSAULT,1/1/2010,112,Atlanta,Fulton County,Georgia,United States
25821,LARCENY-FROM VEHICLE,1/1/2010,508,Atlanta,Fulton County,Georgia,United States
25822,BURGLARY-RESIDENCE,1/1/2010,102,Atlanta,Fulton County,Georgia,United States
25823,LARCENY-FROM VEHICLE,1/1/2010,502,Atlanta,Fulton County,Georgia,United States
25824,LARCENY-NON VEHICLE,1/1/2010,612,Atlanta,DeKalb County,Georgia,United States
25825,LARCENY-NON VEHICLE,1/1/2010,607,Atlanta,Fulton County,Georgia,United States
25826,AUTO THEFT,1/1/2010,507,Atlanta,Fulton County,Georgia,United States
25827,LARCENY-FROM VEHICLE,1/1/2010,211,Atlanta,Fulton County,Georgia,United States
25828,BURGLARY-NONRES,1/1/2010,112,Atlanta,Fulton County,Georgia,United States
25829,LARCENY-FROM VEHICLE,1/1/2010,207,Atlanta,Fulton County,Georgia,United States
25830,LARCENY-FROM VEHICLE,1/1/2010,501,Atlanta,Fulton County,Georgia,United States
