ID,beat
B01,101
B02,102
B03,103
B04,104
B05,105
B06,106
B07,107
B08,108
B09,109
B10,110
B11,111
B12,112
B13,113
B14,114
B15,201
B16,202
B17,203
B18,204
B19,205
B20,206
B21,207
B22,208
B23,209
B24,210
B25,211
B26,212
B27,213
B28,301
B29,302
B30,303
B31,304
B32,305
B33,306
B34,307
B35,308
B36,309
B37,310
B38,311
B39,312
B40,313
B41,401
B42,402
B43,403
B44,404
B45,405
B46,406
B47,407
B48,408
B49,409
B50,410
B51,411
B52,412
B53,413
B54,414
B55,501
B56,502
B57,503
B58,504
B59,505
B60,506
B61,507
B62,508
B63,509
B64,510
B65,511
B66,512
B67,601
B68,602
B69,603
B70,604
B71,605
B72,606
B73,607
B74,608
B75,609
B76,610
B77,611
B78,612
