ID,neighbourhood
N01,Adair Park
N02,Adams Park
N03,Adamsville
N04,Almond Park
N05,Amal Heights
N06,Ansley Park
N07,Ardmore
N08,Argonne Forest
N09,Ashley Courts
N10,Ashview Heights
N11,Atlanta University Center
N12,Atlantic Station
N13,Baker Hills
N14,Bankhead
N15,Beecher Hills
N16,Ben Hill
N17,Ben Hill Acres
N18,Ben Hill Forest
N19,Ben Hill Pines
N20,Ben Hill Terrace
N21,Benteen Park
N22,Berkeley Park
N23,Betmar LaVilla
N24,Blandtown
N25,Bolton
N26,Boulevard Heights
N27,Brandon
N28,Brentwood
N29,Brookhaven
N30,Brookwood
N31,Brookwood Hills
N32,Browns Mill Park
N33,Buckhead Forest
N34,Buckhead Heights
N35,Buckhead Village
N36,Bush Mountain
N37,Butner/Tell
N38,Cabbagetown
N39,Campbellton Road
N40,Candler Park
N41,Capitol Gateway
N42,Capitol View
N43,Carey Park
N44,Carroll Heights
N45,Carver Hills
N46,Cascade Avenue/Road
N47,Castleberry Hill
N48,Center Hill
N49,Channing Valley
N50,Chosewood Park
N51,Collier Heights
N52,Custer/McDonough/Guice
N53,Deerwood
N54,Dixie Hills
N55,Downtown
N56,East Atlanta
N57,East Chastain Park
N58,East Lake
N59,Edgewood
N60,English Avenue
N61,English Park
N62,Fairburn
N63,Fairburn Heights
N64,Fairburn Mays
N65,Fairburn Tell
N66,Florida Heights
N67,Fort Valley
N68,Garden Hills
N69,Glenrose Heights
N70,Grant Park
N71,Greenbriar
N72,Grove Park
N73,Hammond Park
N74,Hanover West
N75,Harland Terrace
N76,Harris Chiles
N77,Heritage Valley
N78,Hills Park
N79,Home Park
N80,Horseshoe Community
N81,Hunter Hills
N82,Inman Park
N83,Joyland
N84,Kings Forest
N85,Kirkwood
N86,Lake Claire
N87,Lakewood
N88,Lakewood Heights
N89,Laurens Valley
N90,Leila Valley
N91,Lenox
N92,Lindbergh/Morosgo
N93,Lindridge/Martin Manor
N94,Loring Heights
N95,Marietta Street Artery
N96,Mechanicsville
N97,Midtown
N98,Midwest Cascade
N99,Morningside/Lenox Park
N100,Mozley Park
N101,North Buckhead
N102,Norwood Manor
N103,Oakland
N104,Oakland City
N105,Old Fourth Ward
N106,Old Gordon
N107,Ormewood Park
N108,Paces
N109,Peachtree Battle Alliance
N110,Peachtree Heights West
N111,Peachtree Park
N112,Penelope Neighbors
N113,Peoplestown
N114,Perkerson
N115,Peyton Forest
N116,Piedmont Heights
N117,Pine Hills
N118,Pittsburgh
N119,Poncey-Highland
N120,Princeton Lakes
N121,Reynoldstown
N122,Riverside
N123,Rockdale
N124,Rosedale Heights
N125,Sandlewood Estates
N126,South Atlanta
N127,South River Gardens
N128,South Tuxedo Park
N129,Southwest
N130,Summerhill
N131,Swallow Circle/Baywood
N132,Sweet Auburn
N133,Sylvan Hills
N134,The Villages at Carver
N135,The Villages at Castleberry H
N136,The Villages at East Lake
N137,Thomasville Heights
N138,Tuxedo Park
N139,Underwood Hills
N140,Venetian Hills
N141,Vine City
N142,Virginia Highland
N143,Washington Park
N144,West End
N145,West Highlands
N146,West Lake
N147,West Manor
N148,West Paces Ferry/Northside
N149,Westhaven
N150,Westview
N151,Westwood Terrace
N152,Whittier Mill Village
N153,Wildwood (NPU-C)
N154,Wisteria Gardens
N155,Woodland Hills
