crime,date,beat,zone,neighbourhood,type
AUTO THEFT,2010-01-05,107,1,Grove Park,house_number
AGG ASSAULT,2010-01-05,602,6,Inman Park,house_number
LARCENY-NON VEHICLE,2010-01-05,602,6,Inman Park,amenity
BURGLARY-RESIDENCE,2010-01-05,402,4,West End,house_number
LARCENY-NON VEHICLE,2010-01-05,210,2,Lenox,shop
BURGLARY-RESIDENCE,2010-01-05,412,4,Ben Hill Terrace,house_number
BURGLARY-RESIDENCE,2010-01-05,301,3,Adair Park,house_number
LARCENY-NON VEHICLE,2010-01-05,109,1,Center Hill,house_number
ROBBERY-PEDESTRIAN,2010-01-05,414,4,Ben Hill,city
AUTO THEFT,2010-01-05,412,4,Midwest Cascade,house_number
LARCENY-FROM VEHICLE,2010-01-05,612,6,East Atlanta,house_number
LARCENY-FROM VEHICLE,2010-01-05,610,6,Kirkwood,house_number
BURGLARY-RESIDENCE,2010-01-05,105,1,Washington Park,house_number
LARCENY-FROM VEHICLE,2010-01-05,601,6,Virginia Highland,house_number
BURGLARY-RESIDENCE,2010-01-05,108,1,Center Hill,house_number
LARCENY-NON VEHICLE,2010-01-05,313,3,South River Gardens,house_number
AUTO THEFT,2010-01-05,506,5,Midtown,building
BURGLARY-RESIDENCE,2010-01-05,305,3,The Villages at Carver,house_number
LARCENY-FROM VEHICLE,2010-01-05,502,5,Midtown,house_number
LARCENY-FROM VEHICLE,2010-01-04,501,5,Home Park,house_number
LARCENY-NON VEHICLE,2010-01-04,210,2,Lenox,shop
AGG ASSAULT,2010-01-04,302,3,Pittsburgh,house_number
LARCENY-FROM VEHICLE,2010-01-04,302,3,Pittsburgh,house_number
LARCENY-FROM VEHICLE,2010-01-04,506,5,Midtown,house_number
BURGLARY-RESIDENCE,2010-01-04,105,1,Hunter Hills,house_number
LARCENY-NON VEHICLE,2010-01-04,414,4,Princeton Lakes,house_number
BURGLARY-RESIDENCE,2010-01-04,403,4,Oakland City,house_number
LARCENY-FROM VEHICLE,2010-01-04,510,5,Downtown,amenity
BURGLARY-RESIDENCE,2010-01-04,307,3,Lakewood Heights,house_number
LARCENY-FROM VEHICLE,2010-01-04,105,1,Washington Park,house_number
BURGLARY-RESIDENCE,2010-01-04,112,1,Collier Heights,house_number
AUTO THEFT,2010-01-04,402,4,Bush Mountain,house_number
LARCENY-NON VEHICLE,2010-01-04,306,3,Sylvan Hills,house_number
BURGLARY-RESIDENCE,2010-01-04,605,6,Capitol Gateway,house_number
